"location.name","treatment.name","event.type","SAMPLE.ID","LAB.ID.x","METHOD","CAS.NUMBER","ANALYTE","RESULT","UNITS","DILUTION","RESULT.REPORTED.TO","MDL","RL","flag","non.detect","duplicate","method.name","event.count","flow.vol.liter","long","lat","COLLECTED","RECEIVED"
"Fruita W","W1","Outflow","FW-W1-01-OT-ISC","HS24041172-01","M4500 NH3 D - TKN_W 4500NH3 D","7727-37-9TKN","Nitrogen, Total Kjeldahl",2,"mg/L",1,"RL",0.1,0.5,NA,FALSE,FALSE,"ISCO","Irrigation 1",NA,-108.6945949,39.18915138,2024-04-12 06:00:00,"16 Apr 2024 10:00"
"Fruita W","W1","Outflow","FW-W1-01-OT-ISC-D","HS24041172-02","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",1,"RL",0.03,0.1,NA,FALSE,TRUE,"ISCO","Irrigation 1",NA,-108.6945949,39.18915138,2024-04-12 06:00:00,"16 Apr 2024 10:00"
"Fruita W","W1","Outflow","FW-W1-01-OT-ISC-D","HS24041172-02","SM4500P E - P-Ortho M4500P E","7723-14-0","Phosphorus, Total Orthophosphate (as P)",0.224,"mg/L",2,"RL",0.02,0.1,"H",FALSE,TRUE,"ISCO","Irrigation 1",NA,-108.6945949,39.18915138,2024-04-12 06:00:00,"16 Apr 2024 10:00"
"Fruita W","W1","Outflow","FW-W1-01-OT-ISC-D","HS24041172-02","SM4500P E - P_TW M4500P E","7723-14-0","Phosphorus, Total (As P)",0.442,"mg/L",1,"RL",0.02,0.05,NA,FALSE,TRUE,"ISCO","Irrigation 1",NA,-108.6945949,39.18915138,2024-04-12 06:00:00,"16 Apr 2024 10:00"
"Fruita W","W1","Outflow","FW-W1-01-OT-ISC-D","HS24041172-02","E160.1 - TDS_W_160.1","TDS","Total Dissolved Solids (Residue, Filterable)",696,"mg/L",1,"RL",5,10,NA,FALSE,TRUE,"ISCO","Irrigation 1",NA,-108.6945949,39.18915138,2024-04-12 06:00:00,"16 Apr 2024 10:00"
"Fruita W","W1","Outflow","FW-W1-01-OT-ISC","HS24041172-01","SM4500P E - P_TW M4500P E","7723-14-0","Phosphorus, Total (As P)",0.477,"mg/L",1,"RL",0.02,0.05,NA,FALSE,FALSE,"ISCO","Irrigation 1",NA,-108.6945949,39.18915138,2024-04-12 06:00:00,"16 Apr 2024 10:00"
"Fruita W","W1","Outflow","FW-W1-01-OT-ISC","HS24041172-01","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",1.4,"mg/L",1,"RL",0.03,0.1,"H",FALSE,FALSE,"ISCO","Irrigation 1",NA,-108.6945949,39.18915138,2024-04-12 06:00:00,"16 Apr 2024 10:00"
"Fruita W","W1","Outflow","FW-W1-01-OT-ISC","HS24041172-01","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",1,"RL",0.03,0.1,NA,FALSE,FALSE,"ISCO","Irrigation 1",NA,-108.6945949,39.18915138,2024-04-12 06:00:00,"16 Apr 2024 10:00"
"Fruita W","W1","Outflow","FW-W1-01-OT-ISC","HS24041172-01","SM4500P E - P-Ortho M4500P E","7723-14-0","Phosphorus, Total Orthophosphate (as P)",0.246,"mg/L",2,"RL",0.02,0.1,"H",FALSE,FALSE,"ISCO","Irrigation 1",NA,-108.6945949,39.18915138,2024-04-12 06:00:00,"16 Apr 2024 10:00"
"Fruita W","W1","Outflow","FW-W1-01-OT-ISC-D","HS24041172-02","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",1.26,"mg/L",1,"RL",0.03,0.1,"H",FALSE,TRUE,"ISCO","Irrigation 1",NA,-108.6945949,39.18915138,2024-04-12 06:00:00,"16 Apr 2024 10:00"
"Fruita W","W1","Outflow","FW-W1-01-OT-ISC","HS24041172-01","E160.1 - TDS_W_160.1","TDS","Total Dissolved Solids (Residue, Filterable)",582,"mg/L",1,"RL",5,10,NA,FALSE,FALSE,"ISCO","Irrigation 1",NA,-108.6945949,39.18915138,2024-04-12 06:00:00,"16 Apr 2024 10:00"
"Fruita W","W1","Outflow","FW-W1-01-OT-ISC-D","HS24041172-02","M4500 NH3 D - TKN_W 4500NH3 D","7727-37-9TKN","Nitrogen, Total Kjeldahl",1.8,"mg/L",1,"RL",0.1,0.5,NA,FALSE,TRUE,"ISCO","Irrigation 1",NA,-108.6945949,39.18915138,2024-04-12 06:00:00,"16 Apr 2024 10:00"
"Fruita W","W2","Outflow","FW-W2-01-OT-ISC-D","HS24041172-04","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",0.468,"mg/L",1,"RL",0.03,0.1,"H",FALSE,TRUE,"ISCO","Irrigation 1",NA,-108.6946281,39.18913084,2024-04-12 06:00:00,"16 Apr 2024 10:00"
